Nummer;aktiv;versteckt;Kategorie;Frage;Loesung;Punkte;Bild;Antwort1;Antwort2;Antwort3;Antwort4;Antwort5;Antwort6;Antwort7;Antwort8;Antwort9;Anmerkung;Anmerkung2
111;0;0;Sicherheit;Welches Signal sollte ein Gabelstaplerführer verwenden, wenn er die Richtung ändern möchte?;1;10;;Die Hupe betätigen;Den Schlüssel herausziehen;Den Motor abstellen;Ein Handzeichen geben;;;;;;;
112;0;0;Mechanik;Welche Art von Gas wird normalerweise für gasbetriebene Gabelstapler verwendet?;2;10;;Helium;Propan oder Butan;Sauerstoff;Kohlendioxid;;;;;;;
113;0;0;Sicherheit;Welche ist die sicherste Methode, um eine instabile Last zu heben?;2;10;;Schnell anheben und weglaufen;Langsam anheben und vorsichtig bewegen;Die Last schütteln, um sie zu stabilisieren;Die Last mit voller Geschwindigkeit heben;;;;;;;
114;0;0;Sicherheit;Welche Geschwindigkeitsbegrenzung gilt normalerweise für Gabelstapler in Innenbereichen?;3;10;115.png;30 km/h;50 km/h;10 km/h;Keine Begrenzung;;;;;;;
115;0;0;Sicherheit;Was sollten Sie tun, wenn Sie ein ungewöhnliches Geräusch oder eine Vibration während des Betriebs eines Gabelstaplers bemerken?;3;10;;Die Lautstärke des Radios erhöhen;Weiterfahren und darauf hoffen, dass es verschwindet;Sofort anhalten und das Problem überprüfen;Ein Selfie machen;;;;;;;
116;0;0;Sicherheit;Welche Art von Feuerlöscher ist für Gabelstapler am besten geeignet?;2;10;117.jpg;Wasser;Kohlendioxid;Schaum;Benzin;;;;;;;
117;0;0;Ausbildung;Welche Arten von Störungen sollten umgehend an den Vorgesetzten gemeldet werden?;2;10;118.jpg;Meinungen und Ratschläge;Sicherheitsmängel und Schäden;Lieblingsrezepte;Urlaubspläne;;;;;;;
118;0;0;Sicherheit;Welche Art von Signal sollte ein Gabelstaplerführer verwenden, wenn er rückwärts fährt?;2;10;119.jpg;Eine rote Fahne schwenken;Die Hupe betätigen und sich umdrehen;Blinker einschalten;Eine Runde drehen;;;;;;;
119;0;0;Sicherheit;Was ist der Zweck einer Lastprüfung auf einem Gabelstapler?;3;10;;Um die Last schwerer zu machen;Um die maximale Geschwindigkeit zu testen;Um die Stabilität der Last zu überprüfen;Um Musik abzuspielen;;;;;;;
120;0;0;Sicherheit;Welche Art von Licht sollte ein Gabelstaplerführer verwenden, wenn er in einem dunklen Bereich arbeitet?;4;10;;Stroboskoplicht;Schwarzlicht;Abblendlicht;Arbeitslicht;;;;;;;
121;0;0;Sicherheit;Welche Art von Gefahr kann durch das Überladen eines Gabelstaplers entstehen?;3;10;121.jpg;Verbesserung der Stabilität;Erhöhte Lastkapazität;Verminderte Stabilität und erhöhte Kippgefahr;Mehr Effizienz;;;;;;;
122;0;0;Ausbildung;Welche Geschwindigkeitsbegrenzung gilt normalerweise für Gabelstapler im Freien?;1;10;;30 km/h;50 km/h;10 km/h;80 km/h;;;;;;;
123;0;0;Ausbildung;Welche Art von Kontrolle sollte ein Gabelstaplerführer verwenden, um die Geschwindigkeit zu regulieren?;1;10;;Gaspedal;Handbremse;Lenkrad;Radiolautstärke;;;;;;;
124;0;0;Physik;Was ist der Zweck des Schwerpunktschattens auf einem Gabelstapler?;2;10;;Die Markierung für Parkplätze;Anzeige des Schwerpunkts der Last;Um den Fahrer vor Sonnenlicht zu schützen;Um den Schwerpunkt des Gabelstaplers zu verbergen;;;;;;;
125;0;0;Mechanik;Welche Art von Gabelstapler wird normalerweise für das Stapeln von Gütern auf Regalen verwendet?;3;10;125.jpg;Teleskoplader;Geländestapler;Schubmaststapler;Hochhubwagen;;;;;;;
126;0;0;Mechanik;Welche Art von Bremsen haben die meisten Gabelstapler?;2;10;;Scheibenbremsen;Trommelbremsen;Keine Bremsen;Elektrische Bremsen;;;;;;;
127;0;0;Physik;Was sollte ein Gabelstaplerführer tun, wenn er eine scharfe Kurve fährt?;3;10;;Die Ladung verlieren;Mit hoher Geschwindigkeit durch die Kurve fahren;Den Lastschwerpunkt beachten;Die Hupe nicht benutzen;;;;;;;
128;0;0;Ausbildung;Welche Art von Staplern wird normalerweise in Lagern verwendet?;2;10;128.jpg;Geländestapler;Hochregalstapler;Bagger;Teleskoplader;;;;;;;
129;0;0;Ausbildung;Welche Art von Last sollte auf einem Gabelstapler aufgeladen werden?;4;10;;Überhaupt keine Last;Nur leichtgewichtige Lasten;Schwere Lasten mit hoher Geschwindigkeit;Nur sichere und gut ausbalancierte Lasten;;;;;;;
130;0;0;Sicherheit;Welche Sicherheitsausrüstung sollte ein Gabelstaplerführer tragen?;4;10;;Handschuhe und Ohrenschützer;Schwimmweste und Taucherbrille;Stirnband und Hula-Hoop-Reifen;Sicherheitsbrille und Gehörschutz;;;;;;;
131;0;0;Ausbildung;Welche Art von Gabelstapler ist am besten für das Anheben von Schüttgut geeignet?;2;10;;Geländestapler;Frontstapler;Hochregalstapler;Gabelstapler mit seitlichem Sitz;;;;;;;
132;0;0;Ausbildung;Was ist der Hauptzweck der Gabeln an einem Gabelstapler?;2;10;;Zum Spielen von Tischtennis;Zum Heben und Tragen von Lasten;Zum Klettern auf hohe Regale;Zum Verzieren des Fahrzeugs;;;;;;;
133;0;0;Mechanik;Welche Art von Gas wird normalerweise für gasbetriebene Gabelstapler verwendet?;3;10;;Sauerstoff;Helium;Propan oder Butan;Kohlendioxid;;;;;;;
134;0;0;Sicherheit;Was sollte ein Gabelstaplerführer tun, wenn er über eine unebene Oberfläche fährt?;2;10;;Die Geschwindigkeit erhöhen;Den Gabelstapler anhalten und absteigen;Die Gabeln absenken;Die Hupe betätigen;;;;;;;
135;0;0;Sicherheit;Wie sollte ein Gabelstaplerführer den Gabelstapler vor dem Verlassen am Ende der Schicht sichern?;2;10;;Die Gabeln in voller Höhe belassen;Den Gabelstapler in neutral schalten und den Motor abstellen;Einen Gang einlegen und die Handbremse lösen;Den Schlüssel stecken lassen;;;;;;;
136;0;0;Sicherheit;Welche Geschwindigkeitsbegrenzung gilt normalerweise für Gabelstapler auf öffentlichen Straßen?;3;10;;50 km/h;100 km/h;30 km/h;10 km/h;;;;;;;
137;0;0;Mechanik;Welche Art von Antrieb haben die meisten Elektrostapler?;2;10;;Verbrennungsmotor;Batterie;Solarzellen;Diesel;;;;;;;
138;0;0;Mechanik;Welche Art von Bodenbelag ist für den Betrieb von Gabelstaplern am besten geeignet?;3;10;;Rasen;Schnee;Beton oder Asphalt;Kies;;;;;;;
139;0;0;Ausbildung;Was ist die Hauptfunktion eines Gabelstaplers?;2;10;;Transport von Menschen;Transport von Waren und Materialien;Gartenpflege;Datenverarbeitung;;;;;;;
140;0;0;Sicherheit;Welches ist eine der wichtigsten Sicherheitsregeln beim Staplerfahren?;4;10;;Schnell fahren, um Zeit zu sparen;Den Gabelstapler überladen;Rücksichtsloses Fahren;Langsam und vorsichtig fahren;;;;;;;
141;0;0;Sicherheit;Was bedeutet die 'Lastkapazität' eines Gabelstaplers?;2;10;;Die maximale Geschwindigkeit, mit der der Stapler fahren kann;Das maximale Gewicht, das der Stapler heben kann;Die maximale Reichweite des Staplers;Die Anzahl der Stunden, die der Stapler ohne Pause betrieben werden kann;;;;;;;
142;0;0;Ausbildung;Wofür dient die Gabel eines Gabelstaplers?;2;10;;Zum Schneiden von Papier;Zum Aufnehmen und Anheben von Paletten und Materialien;Zum Graben von Löchern;Zur Reinigung des Bodens;;;;;;;
143;0;0;Mechanik;Welche Art von Antriebssystemen kommen bei Gabelstaplern häufig vor?;1;10;;Benzin und Elektromotor;Solar und Wind;Fahrradantrieb;Dampfmaschine;;;;;;;
144;0;0;Sicherheit;Wann sollten Sie den Gabelstapler auf Betriebsprobleme überprüfen?;3;10;;Nur einmal im Jahr;Wenn Sie Lust dazu haben;Vor jeder Schicht und nach Bedarf während des Betriebs;Nie, da Gabelstapler nie Probleme haben;;;;;;;
145;0;0;Sicherheit;Was ist die richtige Methode zum Abstellen eines Gabelstaplers?;3;10;;Den Gabelstapler an einem beliebigen Ort parken;Den Gabelstapler auf abschüssigem Gelände parken;Den Gabelstapler auf einer stabilen, ebenen Fläche mit abgesenkten Gabeln und ausgeschaltetem Motor parken;Den Gabelstapler in der Luft parken;;;;;;;
146;0;0;Sicherheit;Was ist der 'Todespunkt' in Bezug auf einen Gabelstapler?;2;10;;Ein Punkt, an dem es keine Luft mehr gibt;Ein gefährlicher Bereich, in dem ein Fußgänger von einem Gabelstapler übersehen werden kann;Ein Punkt, an dem der Gabelstapler gefährlich schnell fährt;Ein Punkt, an dem der Gabelstapler am stärksten beschleunigt;;;;;;;
147;0;0;Ausbildung;Welche Art von Schulung ist in den meisten Ländern für Gabelstaplerfahrer erforderlich?;4;10;;Keine Schulung erforderlich;Online-Schulung;Fahrschulunterricht für Autos;Formale Schulung und Erlangung eines Staplerscheins;;;;;;;
148;0;0;Sicherheit;Was sollte ein Gabelstaplerfahrer tun, wenn er eine unerwartete Hindernisquelle auf seinem Weg sieht?;3;10;;Mit maximaler Geschwindigkeit darauf zufahren und hoffen, dass es sich auflöst;Laut hupen und das Hindernis überfahren;Abbremsen und sicher um das Hindernis herumfahren;Die Augen schließen und beten;;;;;;;
